,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
2586,DEN Networks,3.6,Broadcasting , Public ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,275,1.4k,https://www.ambitionbox.com/interviews/den-networks-interview-questions,--,https://www.ambitionbox.com/jobs/den-networks-jobs,https://www.ambitionbox.com/photos/den-networks-photos, 201-500 Employees , 17 years old 
2587,ABP Group,3.2,Printing & Publishing , 102 years old ,"Promotions / Appraisal, Job Security, Work Satisfaction",NA,271,1.4k,https://www.ambitionbox.com/interviews/abp-group-interview-questions,--,https://www.ambitionbox.com/jobs/abp-group-jobs,https://www.ambitionbox.com/photos/abp-group-photos, 1k-5k Employees , 102 years old 
2588,Siti Networks,4.0,Media & Entertainment , Public ,Work Life Balance,Promotions / Appraisal,265,1k,https://www.ambitionbox.com/interviews/siti-networks-interview-questions,--,https://www.ambitionbox.com/jobs/siti-networks-jobs,https://www.ambitionbox.com/photos/siti-networks-photos, 201-500 Employees , 30 years old 
2589,Vasan Eye Care Hospitals,4.0,Healthcare , 22 years old ,"Company Culture, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,254,620,https://www.ambitionbox.com/interviews/vasan-eye-care-hospitals-interview-questions,34,https://www.ambitionbox.com/jobs/vasan-eye-care-hospitals-jobs,https://www.ambitionbox.com/photos/vasan-eye-care-hospitals-photos, 5k-10k Employees , 22 years old 
2590,Eurofins It Solutions,3.0,IT Services & Consulting , 12 years old ,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",NA,305,3k,https://www.ambitionbox.com/interviews/eurofins-it-solutions-interview-questions,118,https://www.ambitionbox.com/jobs/eurofins-it-solutions-jobs,https://www.ambitionbox.com/photos/eurofins-it-solutions-photos, 1k-5k Employees , 12 years old 
2591,Technotask Business Solutions,3.3,BPO , Bhopal +11 more,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,301,1.2k,https://www.ambitionbox.com/interviews/technotask-business-solutions-interview-questions,10,https://www.ambitionbox.com/jobs/technotask-business-solutions-jobs,https://www.ambitionbox.com/photos/technotask-business-solutions-photos, 5k-10k Employees , 5k-10k Employees 
2592,Carl Zeiss,3.9,Semiconductors , 15 years old ,"Promotions / Appraisal, Work Satisfaction, Company Culture",NA,296,2.1k,https://www.ambitionbox.com/interviews/carl-zeiss-interview-questions,8,https://www.ambitionbox.com/jobs/carl-zeiss-jobs,https://www.ambitionbox.com/photos/carl-zeiss-photos, 501-1k Employees , 15 years old 
2593,Mediterranean Shipping Company,4.1,Ports & Shipping , 54 years old ,"Job Security, Company Culture, Work Satisfaction",NA,287,1.9k,https://www.ambitionbox.com/interviews/mediterranean-shipping-company-interview-questions,--,https://www.ambitionbox.com/jobs/mediterranean-shipping-company-jobs,https://www.ambitionbox.com/photos/mediterranean-shipping-company-photos, 1k-5k Employees , 54 years old 
2594,Ami Lifesciences,3.8,Healthcare , 18 years old ,"Job Security, Salary & Benefits",NA,286,1.4k,https://www.ambitionbox.com/interviews/ami-lifesciences-pvt-dot-ltd-dot-interview-questions,2,https://www.ambitionbox.com/jobs/ami-lifesciences-pvt-dot-ltd-dot-jobs,https://www.ambitionbox.com/photos/ami-lifesciences-pvt-dot-ltd-dot-photos, 1k-5k Employees , 18 years old 
2595,International Game Technology,3.4,Gaming , 34 years old ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,277,1.7k,https://www.ambitionbox.com/interviews/international-game-technology-interview-questions,1,https://www.ambitionbox.com/jobs/international-game-technology-jobs,https://www.ambitionbox.com/photos/international-game-technology-photos, 501-1k Employees , 34 years old 
2596,Healthcare At Home,3.6,Healthcare , Startup ,"Promotions / Appraisal, Job Security",NA,276,1.2k,https://www.ambitionbox.com/interviews/healthcare-at-home-interview-questions,22,https://www.ambitionbox.com/jobs/healthcare-at-home-jobs,https://www.ambitionbox.com/photos/healthcare-at-home-photos, 1k-5k Employees , 12 years old 
2597,Ashapura Group Of Industries,4.1,Metals & Mining , Public ,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,276,1.6k,https://www.ambitionbox.com/interviews/ashapura-group-of-industries-interview-questions,10,https://www.ambitionbox.com/jobs/ashapura-group-of-industries-jobs,https://www.ambitionbox.com/photos/ashapura-group-of-industries-photos, 201-500 Employees , 64 years old 
2598,Owens Corning,3.8,Building Material , 86 years old ,Job Security,"Promotions / Appraisal, Work Satisfaction",272,1.6k,https://www.ambitionbox.com/interviews/owens-corning-interview-questions,--,https://www.ambitionbox.com/jobs/owens-corning-jobs,https://www.ambitionbox.com/photos/owens-corning-photos, 1k-5k Employees , 86 years old 
2599,Continental Engines,4.0,Auto Components , 41 years old ,Job Security,NA,271,1.4k,https://www.ambitionbox.com/interviews/continental-engines-interview-questions,--,https://www.ambitionbox.com/jobs/continental-engines-jobs,https://www.ambitionbox.com/photos/continental-engines-photos, 10k-50k Employees , 41 years old 
2600,Akumentis Healthcare,3.7,Healthcare , 14 years old ,"Promotions / Appraisal, Skill Development / Learning, Job Security",NA,269,775,https://www.ambitionbox.com/interviews/akumentis-healthcare-ltd-interview-questions,1,https://www.ambitionbox.com/jobs/akumentis-healthcare-ltd-jobs,https://www.ambitionbox.com/photos/akumentis-healthcare-ltd-photos, 1k-5k Employees , 14 years old 
2601,Shriram Value Services,4.3,IT Services & Consulting , 18 years old ,"Job Security, Work Life Balance, Company Culture",NA,256,880,https://www.ambitionbox.com/interviews/shriram-value-services-interview-questions,--,https://www.ambitionbox.com/jobs/shriram-value-services-jobs,https://www.ambitionbox.com/photos/shriram-value-services-photos, 1k-5k Employees , 18 years old 
2602,Cedcoss Technologies,3.2,Software Product , 14 years old ,"Job Security, Work Satisfaction, Work Life Balance",NA,309,1.8k,https://www.ambitionbox.com/interviews/cedcoss-technologies-interview-questions,13,https://www.ambitionbox.com/jobs/cedcoss-technologies-jobs,https://www.ambitionbox.com/photos/cedcoss-technologies-photos, 1k-5k Employees , 14 years old 
2603,TransUnion,4.0,Financial Services , Forbes Global 2000 ,"Company Culture, Work Life Balance, Salary & Benefits",NA,309,3.6k,https://www.ambitionbox.com/interviews/transunion-interview-questions,72,https://www.ambitionbox.com/jobs/transunion-jobs,https://www.ambitionbox.com/photos/transunion-photos, 201-500 Employees , 56 years old 
2604,DataMetica,3.7,IT Services & Consulting , 11 years old ,Skill Development / Learning,"Work Life Balance, Promotions / Appraisal",307,2.4k,https://www.ambitionbox.com/interviews/datametica-interview-questions,46,https://www.ambitionbox.com/jobs/datametica-jobs,https://www.ambitionbox.com/photos/datametica-photos, 501-1k Employees , 11 years old 
2605,Mann And Hummel Filter,4.0,Industrial Machinery , 82 years old ,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",282,1.5k,https://www.ambitionbox.com/interviews/mann-and-hummel-filter-interview-questions,11,https://www.ambitionbox.com/jobs/mann-and-hummel-filter-jobs,https://www.ambitionbox.com/photos/mann-and-hummel-filter-photos, 501-1k Employees , 82 years old 
2606,Roop Automotives,4.4,Auto Components , 34 years old ,"Skill Development / Learning, Company Culture, Job Security",NA,277,1.3k,https://www.ambitionbox.com/interviews/roop-automotives-interview-questions,--,https://www.ambitionbox.com/jobs/roop-automotives-jobs,https://www.ambitionbox.com/photos/roop-automotives-photos, 201-500 Employees , 34 years old 
2607,National Organic Chemical Industries,4.1,Chemicals , Public ,"Job Security, Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",273,1.6k,https://www.ambitionbox.com/interviews/national-organic-chemical-industries-ltd-dot-interview-questions,1,https://www.ambitionbox.com/jobs/national-organic-chemical-industries-ltd-dot-jobs,https://www.ambitionbox.com/photos/national-organic-chemical-industries-ltd-dot-photos, 501-1k Employees , 49 years old 
2608,Sakthi Auto Components,3.5,Auto Components , Public ,"Promotions / Appraisal, Salary & Benefits, Company Culture",NA,264,1.1k,https://www.ambitionbox.com/interviews/sakthi-auto-components-interview-questions,--,https://www.ambitionbox.com/jobs/sakthi-auto-components-jobs,https://www.ambitionbox.com/photos/sakthi-auto-components-photos, 501-1k Employees , 41 years old 
2609,P.D. Hinduja National Hospital and Medical Research Centre,3.9,Healthcare , 73 years old ,Promotions / Appraisal,NA,259,5.4k,https://www.ambitionbox.com/interviews/pd-hinduja-national-hospital-and-medical-research--interview-questions,--,https://www.ambitionbox.com/jobs/pd-hinduja-national-hospital-and-medical-research--jobs,https://www.ambitionbox.com/photos/pd-hinduja-national-hospital-and-medical-research--photos, 1k-5k Employees , 73 years old 
2610,C5i,4.1,Analytics & KPO , 24 years old ,"Job Security, Company Culture, Skill Development / Learning",NA,330,2.3k,https://www.ambitionbox.com/interviews/course5-interview-questions,15,https://www.ambitionbox.com/jobs/course5-jobs,https://www.ambitionbox.com/photos/course5-photos, 1k-5k Employees , 24 years old 
2611,myGate,3.3,Law Enforcement & Security , Startup ,"Job Security, Promotions / Appraisal, Work Satisfaction",NA,295,2.2k,https://www.ambitionbox.com/interviews/mygate-interview-questions,6,https://www.ambitionbox.com/jobs/mygate-jobs,https://www.ambitionbox.com/photos/mygate-photos, 1k-5k Employees , 8 years old 
2612,Vistara,3.6,Aviation , 11 years old ,"Work Satisfaction, Promotions / Appraisal, Company Culture",NA,290,1.8k,https://www.ambitionbox.com/interviews/vistara-interview-questions,--,https://www.ambitionbox.com/jobs/vistara-jobs,https://www.ambitionbox.com/photos/vistara-photos, 1k-5k Employees , 11 years old 
2613,Orient Bell,3.7,Building Material , Public ,Promotions / Appraisal,NA,290,1.3k,https://www.ambitionbox.com/interviews/orient-bell-interview-questions,--,https://www.ambitionbox.com/jobs/orient-bell-jobs,https://www.ambitionbox.com/photos/orient-bell-photos, 501-1k Employees , 47 years old 
2614,Agilent Technologies,4.3,Pharma , Forbes Global 2000 ,"Company Culture, Job Security, Work Life Balance",NA,283,1.7k,https://www.ambitionbox.com/interviews/agilent-technologies-interview-questions,--,https://www.ambitionbox.com/jobs/agilent-technologies-jobs,https://www.ambitionbox.com/photos/agilent-technologies-photos, 1k-5k Employees , 25 years old 
2615,Mettler-Toledo,3.6,Electronics Manufacturing , 78 years old ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,283,1.8k,https://www.ambitionbox.com/interviews/mettler-toledo-interview-questions,34,https://www.ambitionbox.com/jobs/mettler-toledo-jobs,https://www.ambitionbox.com/photos/mettler-toledo-photos, 501-1k Employees , 78 years old 
2616,Mungi Group,3.9,Auto Components , 40 years old ,NA,NA,282,1.6k,https://www.ambitionbox.com/interviews/mungi-group-interview-questions,--,https://www.ambitionbox.com/jobs/mungi-group-jobs,https://www.ambitionbox.com/photos/mungi-group-photos, 201-500 Employees , 40 years old 
2617,TCG Lifesciences,4.2,Pharma , Public ,"Job Security, Work Life Balance, Work Satisfaction",NA,269,1.2k,https://www.ambitionbox.com/interviews/tcg-lifesciences-interview-questions,3,https://www.ambitionbox.com/jobs/tcg-lifesciences-jobs,https://www.ambitionbox.com/photos/tcg-lifesciences-photos, 1k-5k Employees , 23 years old 
2618,Caresoft Global,3.5,IT Services & Consulting , 18 years old ,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",NA,283,2.8k,https://www.ambitionbox.com/interviews/caresoft-global-interview-questions,4,https://www.ambitionbox.com/jobs/caresoft-global-jobs,https://www.ambitionbox.com/photos/caresoft-global-photos, 1k-5k Employees , 18 years old 
2619,Avineon India,4.0,IT Services & Consulting , 26 years old ,"Salary & Benefits, Promotions / Appraisal",NA,275,1.3k,https://www.ambitionbox.com/interviews/avineon-india-interview-questions,7,https://www.ambitionbox.com/jobs/avineon-india-jobs,https://www.ambitionbox.com/photos/avineon-india-photos, 1k-5k Employees , 26 years old 
2620,Merck,4.3,Pharma , 133 years old ,"Work Life Balance, Job Security, Company Culture",NA,270,2.1k,https://www.ambitionbox.com/interviews/merck-interview-questions,79,https://www.ambitionbox.com/jobs/merck-jobs,https://www.ambitionbox.com/photos/merck-photos, 1k-5k Employees , 133 years old 
2621,KLAY Schools,3.9,Education & Training , 13 years old ,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,270,1.3k,https://www.ambitionbox.com/interviews/klay-schools-interview-questions,72,https://www.ambitionbox.com/jobs/klay-schools-jobs,https://www.ambitionbox.com/photos/klay-schools-photos, 1k-5k Employees , 13 years old 
2622,EC-Council,4.5,Education & Training , 19 years old ,"Work Life Balance, Work Satisfaction, Company Culture",NA,315,852,https://www.ambitionbox.com/interviews/ec-council-interview-questions,3,https://www.ambitionbox.com/jobs/ec-council-jobs,https://www.ambitionbox.com/photos/ec-council-photos, 501-1k Employees , 19 years old 
2623,Torrent Gas,3.2,Oil & Gas , 65 years old ,"Salary & Benefits, Promotions / Appraisal, Company Culture",NA,305,1.8k,https://www.ambitionbox.com/interviews/torrent-gas-interview-questions,1,https://www.ambitionbox.com/jobs/torrent-gas-jobs,https://www.ambitionbox.com/photos/torrent-gas-photos, 501-1k Employees , 65 years old 
2624,Resurgent India,4.6,201-500 Employees , Gurgaon +10 more,"Company Culture, Job Security, Skill Development / Learning",NA,284,420,https://www.ambitionbox.com/interviews/resurgent-india-interview-questions,17,https://www.ambitionbox.com/jobs/resurgent-india-jobs,https://www.ambitionbox.com/photos/resurgent-india-photos, 19 years old , 19 years old 
2625,Piramal Swasthya,4.2,Healthcare , 17 years old ,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,279,939,https://www.ambitionbox.com/interviews/piramal-swasthya-interview-questions,10,https://www.ambitionbox.com/jobs/piramal-swasthya-jobs,https://www.ambitionbox.com/photos/piramal-swasthya-photos, 10k-50k Employees , 17 years old 
2626,Maxxis Rubber,3.5,Auto Components , 9 years old ,"Promotions / Appraisal, Job Security, Company Culture",NA,275,1.9k,https://www.ambitionbox.com/interviews/maxxis-rubber-interview-questions,2,https://www.ambitionbox.com/jobs/maxxis-rubber-jobs,https://www.ambitionbox.com/photos/maxxis-rubber-photos, 51-200 Employees , 9 years old 
2627,Buhler,4.0,Industrial Machinery , 164 years old ,"Job Security, Work Life Balance",Promotions / Appraisal,275,1.6k,https://www.ambitionbox.com/interviews/buhler-interview-questions,1,https://www.ambitionbox.com/jobs/buhler-jobs,https://www.ambitionbox.com/photos/buhler-photos, 501-1k Employees , 164 years old 
2628,Ksb Pumps,4.0,Industrial Machinery , 64 years old ,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,269,1.2k,https://www.ambitionbox.com/interviews/ksb-pumps-interview-questions,63,https://www.ambitionbox.com/jobs/ksb-pumps-jobs,https://www.ambitionbox.com/photos/ksb-pumps-photos, 1k-5k Employees , 64 years old 
2629,Nutricia,3.7,Fitness & Wellness , 128 years old ,"Promotions / Appraisal, Work Satisfaction, Company Culture",NA,267,598,https://www.ambitionbox.com/interviews/nutricia-interview-questions,--,https://www.ambitionbox.com/jobs/nutricia-jobs,https://www.ambitionbox.com/photos/nutricia-photos, 5k-10k Employees (Global) , 128 years old 
2630,Nibav Lifts,3.7,Industrial Machinery , 5 years old ,Salary & Benefits,Job Security,318,813,https://www.ambitionbox.com/interviews/nibav-lifts-interview-questions,11,https://www.ambitionbox.com/jobs/nibav-lifts-jobs,https://www.ambitionbox.com/photos/nibav-lifts-photos, 1k-5k Employees , 5 years old 
2631,FNP,3.4,Retail , 30 years old ,"Promotions / Appraisal, Job Security, Work Satisfaction",NA,293,2k,https://www.ambitionbox.com/interviews/ferns-n-petals-interview-questions,15,https://www.ambitionbox.com/jobs/ferns-n-petals-jobs,https://www.ambitionbox.com/photos/ferns-n-petals-photos, 501-1k Employees , 30 years old 
2632,Rapido,3.8,Internet , Startup ,Promotions / Appraisal,NA,289,1.9k,https://www.ambitionbox.com/interviews/rapido-interview-questions,4,https://www.ambitionbox.com/jobs/rapido-jobs,https://www.ambitionbox.com/photos/rapido-photos, 1k-5k Employees , 9 years old 
2633,Aludecor Lamination,3.9,Architecture & Interior Design , 20 years old ,Promotions / Appraisal,NA,285,1.4k,https://www.ambitionbox.com/interviews/aludecor-lamination-interview-questions,--,https://www.ambitionbox.com/jobs/aludecor-lamination-jobs,https://www.ambitionbox.com/photos/aludecor-lamination-photos, 201-500 Employees , 20 years old 
2634,Kauvery Hospital,4.0,Healthcare , Public ,"Skill Development / Learning, Job Security, Company Culture",NA,281,1.5k,https://www.ambitionbox.com/interviews/kauvery-hospital-interview-questions,22,https://www.ambitionbox.com/jobs/kauvery-hospital-jobs,https://www.ambitionbox.com/photos/kauvery-hospital-photos, 1k-5k Employees , 25 years old 
2635,Holcim,3.4,Building Material , Forbes Global 2000 ,"Promotions / Appraisal, Work Satisfaction, Company Culture",NA,281,1.9k,https://www.ambitionbox.com/interviews/holcim-interview-questions,2,https://www.ambitionbox.com/jobs/holcim-jobs,https://www.ambitionbox.com/photos/holcim-photos, 1k-5k Employees , 112 years old 
2636,Intercontinental Consultants & Technocrats,4.0,Engineering & Construction , 37 years old ,Work Life Balance,Promotions / Appraisal,275,1.1k,https://www.ambitionbox.com/interviews/intercontinental-consultants-and-technocrats-interview-questions,17,https://www.ambitionbox.com/jobs/intercontinental-consultants-and-technocrats-jobs,https://www.ambitionbox.com/photos/intercontinental-consultants-and-technocrats-photos, 1k-5k Employees , 37 years old 
2637,Deenanath Mangeshkar Hospital,4.2,Healthcare , 23 years old ,"Job Security, Skill Development / Learning, Company Culture",NA,270,879,https://www.ambitionbox.com/interviews/deenanath-mangeshkar-hospital-interview-questions,26,https://www.ambitionbox.com/jobs/deenanath-mangeshkar-hospital-jobs,https://www.ambitionbox.com/photos/deenanath-mangeshkar-hospital-photos, 11-50 Employees , 23 years old 
2638,LendingKart,3.2,NBFC , Public ,"Job Security, Work Satisfaction, Promotions / Appraisal",NA,303,2.2k,https://www.ambitionbox.com/interviews/lendingkart-interview-questions,5,https://www.ambitionbox.com/jobs/lendingkart-jobs,https://www.ambitionbox.com/photos/lendingkart-photos, 1k-5k Employees , 10 years old 
2639,TIBCO Software,3.8,Software Product , 27 years old ,"Work Life Balance, Company Culture",Promotions / Appraisal,285,3.9k,https://www.ambitionbox.com/interviews/tibco-software-interview-questions,24,https://www.ambitionbox.com/jobs/tibco-software-jobs,https://www.ambitionbox.com/photos/tibco-software-photos, 1k-5k Employees , 27 years old 
2640,TIBCO Software,3.8,Software Product , 27 years old ,"Work Life Balance, Company Culture",Promotions / Appraisal,285,3.9k,https://www.ambitionbox.com/interviews/tibco-software-interview-questions,24,https://www.ambitionbox.com/jobs/tibco-software-jobs,https://www.ambitionbox.com/photos/tibco-software-photos, 1k-5k Employees , 27 years old 
2641,Urban Ladder,3.8,Furniture & Furnishing , Startup ,Work Life Balance,"Job Security, Promotions / Appraisal",279,1.5k,https://www.ambitionbox.com/interviews/urban-ladder-interview-questions,4,https://www.ambitionbox.com/jobs/urban-ladder-jobs,https://www.ambitionbox.com/photos/urban-ladder-photos, 501-1k Employees , 12 years old 
2642,ABM Knowledgeware,3.8,IT Services & Consulting , Public ,"Promotions / Appraisal, Job Security, Work Satisfaction",NA,277,1.4k,https://www.ambitionbox.com/interviews/abm-knowledgeware-interview-questions,7,https://www.ambitionbox.com/jobs/abm-knowledgeware-jobs,https://www.ambitionbox.com/photos/abm-knowledgeware-photos, 201-500 Employees , 31 years old 
2643,IPE Global,4.0,Management Consulting , Public ,"Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",276,1k,https://www.ambitionbox.com/interviews/ipe-global-interview-questions,15,https://www.ambitionbox.com/jobs/ipe-global-jobs,https://www.ambitionbox.com/photos/ipe-global-photos, 1k-5k Employees , 26 years old 
2644,Bharat Bijlee,4.3,Electrical Equipment , Public ,"Job Security, Work Life Balance, Company Culture",NA,275,1.4k,https://www.ambitionbox.com/interviews/bharat-bijlee-interview-questions,3,https://www.ambitionbox.com/jobs/bharat-bijlee-jobs,https://www.ambitionbox.com/photos/bharat-bijlee-photos, 501-1k Employees , 78 years old 
2645,LT Foods,4.1,Food Processing , Public ,"Job Security, Work Life Balance",Promotions / Appraisal,275,1.3k,https://www.ambitionbox.com/interviews/lt-foods-interview-questions,--,https://www.ambitionbox.com/jobs/lt-foods-jobs,https://www.ambitionbox.com/photos/lt-foods-photos, 1k-5k Employees , 34 years old 
2646,Talbros,4.1,Auto Components , Public ,Skill Development / Learning,Promotions / Appraisal,271,1.5k,https://www.ambitionbox.com/interviews/talbros-automotive-components-interview-questions,6,https://www.ambitionbox.com/jobs/talbros-automotive-components-jobs,https://www.ambitionbox.com/photos/talbros-automotive-components-photos, 501-1k Employees , 68 years old 
2647,Chettinad Cements,4.0,Building Material , 62 years old ,"Job Security, Salary & Benefits, Work Life Balance",NA,267,1.6k,https://www.ambitionbox.com/interviews/chettinad-cements-interview-questions,--,https://www.ambitionbox.com/jobs/chettinad-cements-jobs,https://www.ambitionbox.com/photos/chettinad-cements-photos, 1k-5k Employees , 62 years old 
2648,Pranav Vikas India Private Limited,3.8,Automobile , 37 years old ,"Promotions / Appraisal, Job Security, Work Satisfaction",NA,261,1.3k,https://www.ambitionbox.com/interviews/pranav-vikas-india-ltd-interview-questions,2,https://www.ambitionbox.com/jobs/pranav-vikas-india-ltd-jobs,https://www.ambitionbox.com/photos/pranav-vikas-india-ltd-photos, 1k-5k Employees , 37 years old 
2649,SPML Infra,3.5,Engineering & Construction , Public ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,255,902,https://www.ambitionbox.com/interviews/spml-infra-interview-questions,1,https://www.ambitionbox.com/jobs/spml-infra-jobs,https://www.ambitionbox.com/photos/spml-infra-photos, 201-500 Employees , 43 years old 
2650,LEAP India Private Limited,4.4,Packaging , Startup ,"Skill Development / Learning, Salary & Benefits, Company Culture",NA,304,950,https://www.ambitionbox.com/interviews/leap-india-interview-questions,9,https://www.ambitionbox.com/jobs/leap-india-jobs,https://www.ambitionbox.com/photos/leap-india-photos, 501-1k Employees , 11 years old 
2651,Markelytics Solutions,4.8,Analytics & KPO , 21 years old ,"Work Life Balance, Skill Development / Learning, Company Culture",NA,301,397,https://www.ambitionbox.com/interviews/markelytics-solutions-interview-questions,--,https://www.ambitionbox.com/jobs/markelytics-solutions-jobs,https://www.ambitionbox.com/photos/markelytics-solutions-photos, 201-500 Employees , 21 years old 
2652,Calsoft,3.2,IT Services & Consulting , 26 years old ,"Promotions / Appraisal, Job Security, Salary & Benefits",NA,294,3.4k,https://www.ambitionbox.com/interviews/calsoft-interview-questions,27,https://www.ambitionbox.com/jobs/calsoft-jobs,https://www.ambitionbox.com/photos/calsoft-photos, 1k-5k Employees , 26 years old 
2653,Arzooo.com,2.4,Internet , Startup ,"Job Security, Company Culture, Promotions / Appraisal",NA,291,1.2k,https://www.ambitionbox.com/interviews/arzooo-dot-com-interview-questions,--,https://www.ambitionbox.com/jobs/arzooo-dot-com-jobs,https://www.ambitionbox.com/photos/arzooo-dot-com-photos, 51-200 Employees , 8 years old 
2654,1K Networks,3.2,Retail , 6 years old ,"Job Security, Promotions / Appraisal, Work Satisfaction",NA,288,1.1k,https://www.ambitionbox.com/interviews/1k-kirana-bazaar-interview-questions,--,https://www.ambitionbox.com/jobs/1k-kirana-bazaar-jobs,https://www.ambitionbox.com/photos/1k-kirana-bazaar-photos, 1k-5k Employees , 6 years old 
2655,Zyoin,4.0,Recruitment , 19 years old ,"Skill Development / Learning, Company Culture, Work Life Balance",NA,287,690,https://www.ambitionbox.com/interviews/zyoin-interview-questions,133,https://www.ambitionbox.com/jobs/zyoin-jobs,https://www.ambitionbox.com/photos/zyoin-photos, 201-500 Employees , 19 years old 
2656,Globus Infocom,4.7,EdTech , Conglomerate ,"Salary & Benefits, Promotions / Appraisal, Company Culture",NA,285,573,https://www.ambitionbox.com/interviews/globus-infocom-interview-questions,3,https://www.ambitionbox.com/jobs/globus-infocom-jobs,https://www.ambitionbox.com/photos/globus-infocom-photos, 201-500 Employees , 23 years old 
2657,MyMoneyMantra,3.4,Internet , 35 years old ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,283,1.6k,https://www.ambitionbox.com/interviews/mymoneymantra-interview-questions,13,https://www.ambitionbox.com/jobs/mymoneymantra-jobs,https://www.ambitionbox.com/photos/mymoneymantra-photos, 1k-5k Employees , 35 years old 
2658,Athenahealth Technology,4.2,IT Services & Consulting , 27 years old ,"Company Culture, Work Life Balance, Job Security",NA,282,3.1k,https://www.ambitionbox.com/interviews/athenahealth-technology-interview-questions,13,https://www.ambitionbox.com/jobs/athenahealth-technology-jobs,https://www.ambitionbox.com/photos/athenahealth-technology-photos, 1k-5k Employees , 27 years old 
2659,Offshoot Agency,3.6,IT Services & Consulting , 22 years old ,"Promotions / Appraisal, Salary & Benefits, Job Security",NA,276,979,https://www.ambitionbox.com/interviews/offshoot-agency-interview-questions,3,https://www.ambitionbox.com/jobs/offshoot-agency-jobs,https://www.ambitionbox.com/photos/offshoot-agency-photos, 501-1k Employees , 22 years old 
2660,Park Hospital,3.5,Healthcare , 42 years old ,"Work Satisfaction, Company Culture, Promotions / Appraisal",NA,275,1.2k,https://www.ambitionbox.com/interviews/park-hospital-interview-questions,15,https://www.ambitionbox.com/jobs/park-hospital-jobs,https://www.ambitionbox.com/photos/park-hospital-photos, 501-1k Employees (Global) , 42 years old 
2661,Sheraton Hotels and Resorts,4.1,Hospitality , 29 years old ,"Job Security, Skill Development / Learning, Company Culture",NA,274,780,https://www.ambitionbox.com/interviews/sheraton-hotels-and-resorts-interview-questions,--,https://www.ambitionbox.com/jobs/sheraton-hotels-and-resorts-jobs,https://www.ambitionbox.com/photos/sheraton-hotels-and-resorts-photos, 10k-50k Employees , 29 years old 
2662,FoodPanda,3.8,Internet , Startup ,"Work Life Balance, Company Culture",Job Security,247,1.1k,https://www.ambitionbox.com/interviews/foodpanda-interview-questions,--,https://www.ambitionbox.com/jobs/foodpanda-jobs,https://www.ambitionbox.com/photos/foodpanda-photos, 501-1k Employees , 12 years old 
2663,Lernx,4.1,Jaipur +12 more,NA,"Skill Development / Learning, Company Culture, Work Life Balance",NA,336,49,https://www.ambitionbox.com/interviews/lernx-interview-questions,--,https://www.ambitionbox.com/jobs/lernx-jobs,https://www.ambitionbox.com/photos/lernx-photos,NA,NA
2664,RSM India,3.4,Accounting & Auditing , 60 years old ,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",NA,297,1.9k,https://www.ambitionbox.com/interviews/rsm-astute-consulting-private-limited-interview-questions,25,https://www.ambitionbox.com/jobs/rsm-astute-consulting-private-limited-jobs,https://www.ambitionbox.com/photos/rsm-astute-consulting-private-limited-photos, 1k-5k Employees , 60 years old 
2665,Coronis Health,3.7,Analytics & KPO , 45 years old ,"Promotions / Appraisal, Skill Development / Learning",NA,295,836,https://www.ambitionbox.com/interviews/coronis-health-interview-questions,4,https://www.ambitionbox.com/jobs/coronis-health-jobs,https://www.ambitionbox.com/photos/coronis-health-photos, 501-1k Employees , 45 years old 
2666,Shalimar Paints,3.9,Chemicals , Public ,Salary & Benefits,Promotions / Appraisal,279,1.2k,https://www.ambitionbox.com/interviews/shalimar-paints-interview-questions,6,https://www.ambitionbox.com/jobs/shalimar-paints-jobs,https://www.ambitionbox.com/photos/shalimar-paints-photos, 1k-5k Employees , 122 years old 
2667,Nuziveedu Seeds,4.2,Agriculture , Public ,"Work Life Balance, Job Security, Company Culture",NA,276,1.1k,https://www.ambitionbox.com/interviews/nuziveedu-seeds-interview-questions,--,https://www.ambitionbox.com/jobs/nuziveedu-seeds-jobs,https://www.ambitionbox.com/photos/nuziveedu-seeds-photos, 1k-5k Employees , 51 years old 
