,name,rating,Sector,Ownership,high_rating_values,bad_rating_factor,Review,Salary_comments,Interview_Q,Jobs,Job_link,Photos,Employee_count,Age
5073,Advantage One Tax Consulting,4.2,Financial Services , 21 years old ,"Skill Development / Learning, Work Satisfaction, Company Culture",NA,133,514,https://www.ambitionbox.com/interviews/advantage-one-tax-consulting-interview-questions,--,https://www.ambitionbox.com/jobs/advantage-one-tax-consulting-jobs,https://www.ambitionbox.com/photos/advantage-one-tax-consulting-photos, 201-500 Employees , 21 years old 
5074,COMSTAR AUTOMOTIVE TECHNOLOGIES,3.6,Auto Components , 25 years old ,"Skill Development / Learning, Job Security",Work Life Balance,131,983,https://www.ambitionbox.com/interviews/comstar-automotive-technologies-interview-questions,--,https://www.ambitionbox.com/jobs/comstar-automotive-technologies-jobs,https://www.ambitionbox.com/photos/comstar-automotive-technologies-photos, 201-500 Employees , 25 years old 
5075,Sims Hospital,4.1,Healthcare , 12 years old ,"Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,130,822,https://www.ambitionbox.com/interviews/sims-hospital-interview-questions,--,https://www.ambitionbox.com/jobs/sims-hospital-jobs,https://www.ambitionbox.com/photos/sims-hospital-photos, 501-1k Employees , 12 years old 
5076,Mytrah Energy,3.6,Power , 15 years old ,"Promotions / Appraisal, Salary & Benefits, Company Culture",NA,128,556,https://www.ambitionbox.com/interviews/mytrah-energy-interview-questions,--,https://www.ambitionbox.com/jobs/mytrah-energy-jobs,https://www.ambitionbox.com/photos/mytrah-energy-photos, 201-500 Employees , 15 years old 
5077,Hipad Technology India,4.0,Electronics Manufacturing , 8 years old ,Skill Development / Learning,"Job Security, Salary & Benefits, Work Life Balance",122,500,https://www.ambitionbox.com/interviews/hipad-technology-india-pvt-dot-ltd-interview-questions,--,https://www.ambitionbox.com/jobs/hipad-technology-india-pvt-dot-ltd-jobs,https://www.ambitionbox.com/photos/hipad-technology-india-pvt-dot-ltd-photos, 1k-5k Employees (Global) , 8 years old 
5078,Mit World Peace University,4.0,Education & Training , Pune +5 more,"Job Security, Work Life Balance, Skill Development / Learning",NA,172,781,https://www.ambitionbox.com/interviews/mit-world-peace-university-interview-questions,22,https://www.ambitionbox.com/jobs/mit-world-peace-university-jobs,https://www.ambitionbox.com/photos/mit-world-peace-university-photos, 1k-5k Employees , 1k-5k Employees 
5079,Brick&Bolt,4.0,Engineering & Construction , Startup ,"Salary & Benefits, Company Culture, Work Life Balance",NA,167,647,https://www.ambitionbox.com/interviews/brick-and-bolt-interview-questions,17,https://www.ambitionbox.com/jobs/brick-and-bolt-jobs,https://www.ambitionbox.com/photos/brick-and-bolt-photos, 51-200 Employees , 7 years old 
5080,Carelan,3.9,Hyderabad / Secunderabad +6 more,NA,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal,166,1.8k,https://www.ambitionbox.com/interviews/carelan-interview-questions,5,https://www.ambitionbox.com/jobs/carelan-jobs,https://www.ambitionbox.com/photos/carelan-photos,NA,NA
5081,L&T Buildings & Factories,4.3,Engineering & Construction , New Delhi +25 more,"Job Security, Skill Development / Learning, Company Culture",NA,161,107,https://www.ambitionbox.com/interviews/l-and-t-building-and-factory-interview-questions,--,https://www.ambitionbox.com/jobs/l-and-t-building-and-factory-jobs,https://www.ambitionbox.com/photos/l-and-t-building-and-factory-photos, 5k-10k Employees , 5k-10k Employees 
5082,Hero Vired,4.1,Education & Training , New Delhi +5 more,"Skill Development / Learning, Salary & Benefits, Company Culture",NA,158,350,https://www.ambitionbox.com/interviews/hero-vired-interview-questions,1,https://www.ambitionbox.com/jobs/hero-vired-jobs,https://www.ambitionbox.com/photos/hero-vired-photos, 201-500 Employees , 201-500 Employees 
5083,Crest Data Systems,3.6,IT Services & Consulting , 11 years old ,Salary & Benefits,"Work Satisfaction, Skill Development / Learning, Job Security",158,1.3k,https://www.ambitionbox.com/interviews/crest-data-systems-interview-questions,1,https://www.ambitionbox.com/jobs/crest-data-systems-jobs,https://www.ambitionbox.com/photos/crest-data-systems-photos, 501-1k Employees , 11 years old 
5084,Intelizign Lifecycle Services,3.8,IT Services & Consulting , 18 years old ,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",157,1.6k,https://www.ambitionbox.com/interviews/intelizign-lifecycle-services-interview-questions,13,https://www.ambitionbox.com/jobs/intelizign-lifecycle-services-jobs,https://www.ambitionbox.com/photos/intelizign-lifecycle-services-photos, 501-1k Employees , 18 years old 
5085,MoreTasks,3.9,IT Services & Consulting , 8 years old ,"Company Culture, Skill Development / Learning, Work Satisfaction",Promotions / Appraisal,150,205,https://www.ambitionbox.com/interviews/moretasks-business-solution-pvt-ltd-interview-questions,--,https://www.ambitionbox.com/jobs/moretasks-business-solution-pvt-ltd-jobs,https://www.ambitionbox.com/photos/moretasks-business-solution-pvt-ltd-photos, 51-200 Employees , 8 years old 
5086,Health Insurance TPA of India,3.9,Insurance , 11 years old ,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",149,772,https://www.ambitionbox.com/interviews/health-insurance-tpa-of-india-interview-questions,--,https://www.ambitionbox.com/jobs/health-insurance-tpa-of-india-jobs,https://www.ambitionbox.com/photos/health-insurance-tpa-of-india-photos, 51-200 Employees , 11 years old 
5087,Asiana Times,4.4,Media & Entertainment , New Delhi +4 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Salary & Benefits,149,25,https://www.ambitionbox.com/interviews/asiana-times-interview-questions,--,https://www.ambitionbox.com/jobs/asiana-times-jobs,https://www.ambitionbox.com/photos/asiana-times-photos, 51-200 Employees , 51-200 Employees 
5088,CFlo,4.5,Industrial Machinery , 18 years old ,"Job Security, Company Culture, Skill Development / Learning",NA,148,392,https://www.ambitionbox.com/interviews/cde-asia-ltd-dot-interview-questions,--,https://www.ambitionbox.com/jobs/cde-asia-ltd-dot-jobs,https://www.ambitionbox.com/photos/cde-asia-ltd-dot-photos, 51-200 Employees , 18 years old 
5089,Algoworks Technologies,3.9,IT Services & Consulting , 18 years old ,"Work Life Balance, Company Culture, Job Security",NA,148,1.5k,https://www.ambitionbox.com/interviews/algoworks-technologies-interview-questions,12,https://www.ambitionbox.com/jobs/algoworks-technologies-jobs,https://www.ambitionbox.com/photos/algoworks-technologies-photos, 501-1k Employees , 18 years old 
5090,CLR Facility Services,4.2,Facility Management Services , 22 years old ,"Company Culture, Work Satisfaction, Skill Development / Learning",NA,146,676,https://www.ambitionbox.com/interviews/clr-facility-services-interview-questions,1,https://www.ambitionbox.com/jobs/clr-facility-services-jobs,https://www.ambitionbox.com/photos/clr-facility-services-photos, 1k-5k Employees , 22 years old 
5091,Greytip Software,3.6,Software Product , 30 years old ,"Promotions / Appraisal, Job Security",NA,146,938,https://www.ambitionbox.com/interviews/greytip-software-interview-questions,62,https://www.ambitionbox.com/jobs/greytip-software-jobs,https://www.ambitionbox.com/photos/greytip-software-photos, 501-1k Employees , 30 years old 
5092,Ramoji Film City,4.0,Media & Entertainment , 28 years old ,Job Security,Promotions / Appraisal,144,612,https://www.ambitionbox.com/interviews/ramoji-film-city-interview-questions,--,https://www.ambitionbox.com/jobs/ramoji-film-city-jobs,https://www.ambitionbox.com/photos/ramoji-film-city-photos, 1k-5k Employees , 28 years old 
5093,Mayfair Hotels & Resorts,4.2,Hospitality , Public ,"Job Security, Company Culture, Work Life Balance",NA,144,671,https://www.ambitionbox.com/interviews/mayfair-hotels-and-resorts-interview-questions,--,https://www.ambitionbox.com/jobs/mayfair-hotels-and-resorts-jobs,https://www.ambitionbox.com/photos/mayfair-hotels-and-resorts-photos, 501-1k Employees , 42 years old 
5094,Sutlej Textiles and Industries,3.9,Fashion & Textile , Public ,"Job Security, Work Life Balance",Promotions / Appraisal,143,810,https://www.ambitionbox.com/interviews/sutlej-textiles-and-industries-interview-questions,2,https://www.ambitionbox.com/jobs/sutlej-textiles-and-industries-jobs,https://www.ambitionbox.com/photos/sutlej-textiles-and-industries-photos, 10k-50k Employees , 19 years old 
5095,ASK-EHS Engineering & Consultants,3.2,Engineering & Construction , 19 years old ,"Promotions / Appraisal, Job Security, Company Culture",NA,143,574,https://www.ambitionbox.com/interviews/ask-ehs-engineering-and-consultants-interview-questions,29,https://www.ambitionbox.com/jobs/ask-ehs-engineering-and-consultants-jobs,https://www.ambitionbox.com/photos/ask-ehs-engineering-and-consultants-photos, 201-500 Employees , 19 years old 
5096,NMIMS,4.0,Education & Training , 43 years old ,Work Life Balance,Promotions / Appraisal,142,1k,https://www.ambitionbox.com/interviews/nmims-interview-questions,--,https://www.ambitionbox.com/jobs/nmims-jobs,https://www.ambitionbox.com/photos/nmims-photos, 1k-5k Employees (Global) , 43 years old 
5097,Gallantt Ispat,4.1,Iron & Steel , Public ,"Skill Development / Learning, Work Life Balance, Work Satisfaction",NA,141,544,https://www.ambitionbox.com/interviews/gallantt-ispat-interview-questions,--,https://www.ambitionbox.com/jobs/gallantt-ispat-jobs,https://www.ambitionbox.com/photos/gallantt-ispat-photos, 501-1k Employees , 19 years old 
